0	0	5.9535e-05	-0.000118435
0	1	0	-0.000118435
0.005	0	5.95347e-05	-0.000118435
0.005	1	0	-0.000118435
0.01	0	5.95337e-05	-0.000118434
0.01	1	0	-0.000118434
0.015	0	5.95321e-05	-0.000118432
0.015	1	0	-0.000118432
0.02	0	5.95298e-05	-0.00011843
0.02	1	0	-0.00011843
0.025	0	5.95268e-05	-0.000118427
0.025	1	0	-0.000118427
0.03	0	5.95232e-05	-0.000118423
0.03	1	0	-0.000118423
0.035	0	5.9519e-05	-0.000118419
0.035	1	0	-0.000118419
0.04	0	5.95141e-05	-0.000118414
0.04	1	0	-0.000118414
0.045	0	5.95086e-05	-0.000118409
0.045	1	0	-0.000118409
0.05	0	5.95025e-05	-0.000118403
0.05	1	0	-0.000118403
0.055	0	5.94958e-05	-0.000118396
0.055	1	0	-0.000118396
0.06	0	5.94884e-05	-0.000118389
0.06	1	0	-0.000118389
0.065	0	5.94804e-05	-0.000118381
0.065	1	0	-0.000118381
0.07	0	5.94719e-05	-0.000118372
0.07	1	0	-0.000118372
0.075	0	5.94627e-05	-0.000118363
0.075	1	0	-0.000118363
0.08	0	5.9453e-05	-0.000118353
0.08	1	0	-0.000118353
0.085	0	5.94427e-05	-0.000118343
0.085	1	0	-0.000118343
0.09	0	5.94318e-05	-0.000118332
0.09	1	0	-0.000118332
0.095	0	5.94204e-05	-0.000118321
0.095	1	0	-0.000118321
0.1	0	5.94084e-05	-0.000118309
0.1	1	0	-0.000118309
0.105	0	5.93959e-05	-0.000118296
0.105	1	0	-0.000118296
0.11	0	5.93829e-05	-0.000118283
0.11	1	0	-0.000118283
0.115	0	5.93695e-05	-0.00011827
0.115	1	0	-0.00011827
0.12	0	5.93555e-05	-0.000118256
0.12	1	0	-0.000118256
0.125	0	5.9341e-05	-0.000118241
0.125	1	0	-0.000118241
0.13	0	5.93261e-05	-0.000118226
0.13	1	0	-0.000118226
0.135	0	5.93108e-05	-0.000118211
0.135	1	0	-0.000118211
0.14	0	5.9295e-05	-0.000118195
0.14	1	0	-0.000118195
0.145	0	5.92788e-05	-0.000118179
0.145	1	0	-0.000118179
0.15	0	5.92623e-05	-0.000118162
0.15	1	0	-0.000118162
0.155	0	5.92453e-05	-0.000118146
0.155	1	0	-0.000118146
0.16	0	5.9228e-05	-0.000118128
0.16	1	0	-0.000118128
0.165	0	5.92104e-05	-0.000118111
0.165	1	0	-0.000118111
0.17	0	5.91924e-05	-0.000118093
0.17	1	0	-0.000118093
0.175	0	5.91741e-05	-0.000118074
0.175	1	0	-0.000118074
0.18	0	5.91556e-05	-0.000118056
0.18	1	0	-0.000118056
0.185	0	5.91367e-05	-0.000118037
0.185	1	0	-0.000118037
0.19	0	5.91177e-05	-0.000118018
0.19	1	0	-0.000118018
0.195	0	5.90983e-05	-0.000117998
0.195	1	0	-0.000117998
0.2	0	5.90788e-05	-0.000117979
0.2	1	0	-0.000117979
0.205	0	5.90591e-05	-0.000117959
0.205	1	0	-0.000117959
0.21	0	5.90392e-05	-0.000117939
0.21	1	0	-0.000117939
0.215	0	5.90192e-05	-0.000117919
0.215	1	0	-0.000117919
0.22	0	5.8999e-05	-0.000117899
0.22	1	0	-0.000117899
0.225	0	5.89787e-05	-0.000117879
0.225	1	0	-0.000117879
0.23	0	5.89583e-05	-0.000117858
0.23	1	0	-0.000117858
0.235	0	5.89378e-05	-0.000117838
0.235	1	0	-0.000117838
0.24	0	5.89173e-05	-0.000117817
0.24	1	0	-0.000117817
0.245	0	5.88968e-05	-0.000117797
0.245	1	0	-0.000117797
0.25	0	5.88762e-05	-0.000117776
0.25	1	0	-0.000117776
0.255	0	5.88557e-05	-0.000117756
0.255	1	0	-0.000117756
0.26	0	5.88351e-05	-0.000117735
0.26	1	0	-0.000117735
0.265	0	5.88147e-05	-0.000117715
0.265	1	0	-0.000117715
0.27	0	5.87942e-05	-0.000117694
0.27	1	0	-0.000117694
0.275	0	5.87739e-05	-0.000117674
0.275	1	0	-0.000117674
0.28	0	5.87537e-05	-0.000117654
0.28	1	0	-0.000117654
0.285	0	5.87336e-05	-0.000117634
0.285	1	0	-0.000117634
0.29	0	5.87136e-05	-0.000117614
0.29	1	0	-0.000117614
0.295	0	5.86938e-05	-0.000117594
0.295	1	0	-0.000117594
0.3	0	5.86742e-05	-0.000117574
0.3	1	0	-0.000117574
0.305	0	5.86548e-05	-0.000117555
0.305	1	0	-0.000117555
0.31	0	5.86356e-05	-0.000117536
0.31	1	0	-0.000117536
0.315	0	5.86167e-05	-0.000117517
0.315	1	0	-0.000117517
0.32	0	5.85979e-05	-0.000117498
0.32	1	0	-0.000117498
0.325	0	5.85795e-05	-0.00011748
0.325	1	0	-0.00011748
0.33	0	5.85614e-05	-0.000117461
0.33	1	0	-0.000117461
0.335	0	5.85435e-05	-0.000117444
0.335	1	0	-0.000117444
0.34	0	5.8526e-05	-0.000117426
0.34	1	0	-0.000117426
0.345	0	5.85089e-05	-0.000117409
0.345	1	0	-0.000117409
0.35	0	5.84921e-05	-0.000117392
0.35	1	0	-0.000117392
0.355	0	5.84756e-05	-0.000117376
0.355	1	0	-0.000117376
0.36	0	5.84596e-05	-0.00011736
0.36	1	0	-0.00011736
0.365	0	5.84439e-05	-0.000117344
0.365	1	0	-0.000117344
0.37	0	5.84287e-05	-0.000117329
0.37	1	0	-0.000117329
0.375	0	5.84139e-05	-0.000117314
0.375	1	0	-0.000117314
0.38	0	5.83995e-05	-0.000117299
0.38	1	0	-0.000117299
0.385	0	5.83856e-05	-0.000117286
