0	1	3e-06	1	0	0	0	6.3	0
0.05	1	3e-06	0.950652	0.315	0	-1.92106	5.99048	0
0.1	1	3e-06	0.807894	0.599048	0	-3.6389	5.09983	0
0.15	1	3e-06	0.586762	0.824983	0	-4.98079	3.73394	0
0.2	1	3e-06	0.309815	0.972443	0	-5.82656	2.04639	0
0.25	1	3e-06	0.00410601	1.02962	0	-6.1179	0.212622	0
0.3	1	3e-06	-0.301975	0.993705	0	-5.85557	-1.59382	0
0.35	1	3e-06	-0.581451	0.87024	0	-5.08897	-3.21846	0
0.4	1	3e-06	-0.810871	0.671859	0	-3.90307	-4.53548	0
0.45	1	3e-06	-0.971758	0.416693	0	-2.40634	-5.45125	0
0.5	1	3e-06	-1.05151	0.126734	0	-0.721417	-5.90446	0
0.55	1	3e-06	-1.0439	-0.173753	0	1.02144	-5.86505	0
0.6	1	3e-06	-0.949361	-0.459771	0	2.68908	-5.33373	0
0.65	1	3e-06	-0.774991	-0.707126	0	4.14982	-4.3427	0
0.7	1	3e-06	-0.534379	-0.894041	0	5.27898	-2.9574	0
0.75	1	3e-06	-0.247093	-1.00287	0	5.96706	-1.27821	0
0.8	1	3e-06	0.0623267	-1.02186	0	6.13106	0.560018	0
0.85	1	3e-06	0.366013	-0.946865	0	5.72842	2.39326	0
0.9	1	3e-06	0.635168	-0.782536	0	4.77079	4.04096	0
0.95	1	3e-06	0.843092	-0.542769	0	3.33307	5.32672	0
1	1	3e-06	0.968475	-0.249864	0	1.55236	6.10457	0
1.05	1	3e-06	0.998328	0.0676878	0	-0.386428	6.28435	0
1.1	1	3e-06	0.929832	0.378571	0	-2.27684	5.84842	0
1.15	1	3e-06	0.770644	0.65253	0	-3.92245	4.85371	0
1.2	1	3e-06	0.537588	0.863943	0	-5.16473	3.41893	0
1.25	1	3e-06	0.254171	0.994423	0	-5.90033	1.70192	0
1.3	1	3e-06	-0.0524452	1.03414	0	-6.0857	-0.125086	0
1.35	1	3e-06	-0.354399	0.981914	0	-5.73161	-1.8963	0
1.4	1	3e-06	-0.625607	0.844505	0	-4.89227	-3.46616	0
1.45	1	3e-06	-0.843626	0.635298	0	-3.6535	-4.71647	0
1.5	1	3e-06	-0.990956	0.372858	0	-2.12258	-5.55885	0
1.55	1	3e-06	-1.05588	0.0794126	0	-0.42077	-5.93492	0
1.6	1	3e-06	-1.03303	-0.220634	0	1.32202	-5.81619	0
1.65	1	3e-06	-0.923683	-0.502206	0	2.97142	-5.20496	0
1.7	1	3e-06	-0.735891	-0.74113	0	4.39334	-4.13643	0
1.75	1	3e-06	-0.484348	-0.915849	0	5.46072	-2.68155	0
1.8	1	3e-06	-0.189819	-1.00929	0	6.06355	-0.949059	0
1.85	1	3e-06	0.122007	-1.01076	0	6.1224	0.915934	0
1.9	1	3e-06	0.422422	-0.917692	0	5.60394	2.73971	0
1.95	1	3e-06	0.682401	-0.736784	0	4.5346	4.33614	0
2	1	3e-06	0.875881	-0.484078	0	3.00709	5.53081	0
2.05	1	3e-06	0.98311	-0.183703	0	1.17465	6.18874	0
2.1	1	3e-06	0.993346	0.134796	0	-0.768497	6.23792	0
2.15	1	3e-06	0.90626	0.440089	0	-2.61643	5.68108	0
2.2	1	3e-06	0.731704	0.702905	0	-4.18251	4.59215	0
2.25	1	3e-06	0.488009	0.899304	0	-5.32354	3.09937	0
2.3	1	3e-06	0.199349	1.01284	0	-5.95205	1.36199	0
2.35	1	3e-06	-0.107197	1.0355	0	-6.03715	-0.452632	0
2.4	1	3e-06	-0.404365	0.967579	0	-5.59731	-2.18654	0
2.45	1	3e-06	-0.666928	0.816849	0	-4.68995	-3.70209	0
2.5	1	3e-06	-0.87336	0.59737	0	-3.40104	-4.88725	0
2.55	1	3e-06	-1.00703	0.328124	0	-1.8369	-5.65749	0
2.6	1	3e-06	-1.05705	0.0316212	0	-0.118253	-5.95645	0
2.65	1	3e-06	-1.01886	-0.267521	0	1.62415	-5.75695	0
2.7	1	3e-06	-0.894635	-0.544074	0	3.25356	-5.06332	0
2.75	1	3e-06	-0.693501	-0.773852	0	4.6327	-3.91488	0
2.8	1	3e-06	-0.431365	-0.935562	0	5.63207	-2.38973	0
2.85	1	3e-06	-0.130293	-1.01283	0	6.1422	-0.606534	0
2.9	1	3e-06	0.182855	-0.996216	0	6.08928	1.27844	0
2.95	1	3e-06	0.478634	-0.884981	0	5.45177	3.08229	0
3	1	3e-06	0.728032	-0.687986	0	4.27301	4.6155	0
3.05	1	3e-06	0.905935	-0.423431	0	2.66397	5.70901	0
3.1	1	3e-06	0.994428	-0.117085	0	0.79221	6.24202	0
3.15	1	3e-06	0.985156	0.200771	0	-1.14215	6.16216	0
3.2	1	3e-06	0.880213	0.499131	0	-2.93735	5.49171	0
3.25	1	3e-06	0.691421	0.749943	0	-4.41881	4.31885	0
3.3	1	3e-06	0.438332	0.931015	0	-5.4588	2.7782	0
3.35	1	3e-06	0.145542	1.02776	0	-5.98424	1.028	0
3.4	1	3e-06	-0.160092	1.03382	0	-5.97467	-0.770141	0
3.45	1	3e-06	-0.451925	0.950749	0	-5.45431	-2.46572	0
3.5	1	3e-06	-0.705523	0.787243	0	-4.48253	-3.92781	0
3.55	1	3e-06	-0.900178	0.557968	0	-3.1452	-5.04909	0
3.6	1	3e-06	-1.02004	0.282334	0	-1.54817	-5.7477	0
3.65	1	3e-06	-1.055	-0.0168017	0	0.187366	-5.96861	0
3.7	1	3e-06	-1.00131	-0.314526	0	1.92857	-5.68598	0
